id,name,date,director,actor,language
1016424,Satya,1998.0,Ram Gopal Varma,J. D. Chakravarthi,Hindi
1016443,Mughal-e-Azam,1960.0,K. Asif,Dilip Kumar,Hindi
1016461,Bhool Bhulaiyaa,2007.0,Priyadarshan,Akshay Kumar,Hindi
1016513,Udta Punjab,2016.0,Abhishek Chaubey,Shahid Kapoor,Hindi
1016555,Maanaadu,2021.0,Venkat Prabhu,Silambarasan,Tamil
1016615,Ek Tha Tiger,2012.0,Kabir Khan,Salman Khan,Hindi
1016675,Black Friday,2004.0,Anurag Kashyap,Kay Kay Menon,Hindi
1016687,Band Baaja Baaraat,2010.0,Maneesh Sharma,Ranveer Singh,Hindi
1016694,Pudhupettai,2006.0,Selvaraghavan,Dhanush,Tamil
1016702,Drishyam 2,2022.0,Abhishek Pathak,Ajay Devgan,Hindi
1016751,Varshangalkku Shesham,2024.0,Vineeth Sreenivasan,Dhyan Sreenivasan,Malayalam
1016773,Fanaa,2006.0,Kunal Kohli,Aamir Khan,Hindi
1016838,Secret Superstar,2017.0,Advait Chandan,Zaira Wasim,Hindi
1016858,M.S. Dhoni: The Untold Story,2016.0,Neeraj Pandey,Sushant Singh Rajput,Hindi
1016863,Dada,2023.0,Ganesh K. Babu,Kavin Raj,Tamil
1016873,Vaaranam Aayiram,2008.0,Gautham Vasudev Menon,Suriya,Tamil
1016916,Jaya Jaya Jaya Jaya Hey,2022.0,Vipin Das,Darshana Rajendran,Malayalam
1016994,Teri Baaton Mein Aisa Uljha Jiya,2024.0,Aradhana Sah,Shahid Kapoor,Hindi
1017030,Photograph,2019.0,Ritesh Batra,Nawazuddin Siddiqui,Hindi
1017092,Kabir Singh,2019.0,Sandeep Reddy Vanga,Shahid Kapoor,Hindi
1017123,Newton,2017.0,Amit Masurkar,Rajkummar Rao,Hindi
1017128,Pizza,2012.0,Karthik Subbaraj,Vijay Sethupathi,Tamil
1017185,Badhaai Ho,2018.0,Amit Sharma,Ayushmann Khurrana,Hindi
1017193,O Kadhal Kanmani,2015.0,Mani Ratnam,Dulquer Salmaan,Tamil
1017221,The Sky Is Pink,2019.0,Shonali Bose,Priyanka Chopra Jonas,Hindi
1017241,Sultan,2016.0,Ali Abbas Zafar,Salman Khan,Hindi
1017310,Drishyam,2013.0,Jeethu Joseph,Mohanlal,Malayalam
1017341,OMG: Oh My God!,2012.0,Umesh Shukla,Paresh Rawal,Hindi
1017350,Doctor,2021.0,Nelson Dilipkumar,Sivakarthikeyan,Tamil
1017354,Trapped,2017.0,Vikramaditya Motwane,Rajkummar Rao,Hindi
1017438,Thappad,2020.0,Anubhav Sinha,Taapsee Pannu,Hindi
1017439,Jersey,2019.0,Gowtam Tinnanuri,Nani,Telugu
1017468,Bhaag Milkha Bhaag,2013.0,Rakeysh Omprakash Mehra,Farhan Akhtar,Hindi
1017471,Kannathil Muthamittal,2002.0,Mani Ratnam,P. S. Keerthana,Tamil
1017474,Hasee Toh Phasee,2014.0,Vinil Mathew,Sidharth Malhotra,Hindi
1017480,Dostana,2008.0,Tarun Mansukhani,Abhishek Bachchan,Hindi
1017522,Jaane Jaan,2023.0,Sujoy Ghosh,Kareena Kapoor Khan,Hindi
1017576,Gargi,2022.0,Gautham Ramachandran,Sai Pallavi,Tamil
1017715,Ee.Ma.Yau.,2018.0,Lijo Jose Pellissery,Kainakary Thankaraj,Malayalam
1017752,Days and Nights in the Forest,1970.0,Satyajit Ray,Soumitra Chatterjee,"Bengali, Bangla"
1017796,Karwaan,2018.0,Akarsh Khurana,Irrfan Khan,Hindi
1017869,2 States,2014.0,Abhishek Varman,Alia Bhatt,Hindi
1017882,Thalapathi,1991.0,Mani Ratnam,Rajinikanth,Tamil
1017902,Mom,2017.0,Ravi Udyawar,Sridevi,Hindi
1017912,Dil To Pagal Hai,1997.0,Yash Chopra,Shah Rukh Khan,Hindi
1017959,Malik,2021.0,Mahesh Narayanan,Fahadh Faasil,Malayalam
1017960,2.0,2018.0,Shankar,Rajinikanth,Tamil
1017965,Badlapur,2015.0,Sriram Raghavan,Varun Dhawan,Hindi
1017972,Aashiqui 2,2013.0,Mohit Suri,Aditya Roy Kapur,Hindi
1017973,Angamaly Diaries,2017.0,Lijo Jose Pellissery,Antony Varghese,Malayalam
1017991,Chup,2022.0,R. Balki,Dulquer Salmaan,Hindi
1018014,Vendhu Thanindhathu Kaadu,2022.0,Gautham Vasudev Menon,Silambarasan,Tamil
1018088,Andaz Apna Apna,1994.0,Rajkumar Santoshi,Aamir Khan,Hindi
1018108,Raanjhanaa,2013.0,Aanand L. Rai,Dhanush,Hindi
1018172,Bhool Bhulaiyaa 2,2022.0,Anees Bazmee,Kartik Aaryan,Hindi
1018177,Bang Bang!,2014.0,Siddharth Anand,Hrithik Roshan,Hindi
1018230,Dasara,2023.0,Srikanth Odela,Nani,Telugu
1018311,Atrangi Re,2021.0,Aanand L. Rai,Sara Ali Khan,Hindi
1018317,Singham,2011.0,Rohit Shetty,Ajay Devgan,Hindi
1018327,Lust Stories,2018.0,Anurag Kashyap,Kiara Advani,Hindi
1018330,Uri: The Surgical Strike,2019.0,Aditya Dhar,Vicky Kaushal,Hindi
1018384,Aaranya Kaandam,2011.0,Thiagarajan Kumararaja,Jackie Shroff,Tamil
1018401,Ayyappanum Koshiyum,2020.0,Sachy,Biju Menon,Malayalam
1018402,Jab Harry Met Sejal,2017.0,Imtiaz Ali,Shah Rukh Khan,Hindi
1018432,Guru,2007.0,Mani Ratnam,Abhishek Bachchan,Hindi
1018466,Garuda Gamana Vrishabha Vahana,2021.0,Raj B Shetty,Raj B Shetty,Kannada
1018504,Ustad Hotel,2012.0,Anwar Rasheed,Dulquer Salmaan,Malayalam
1018507,Falimy,2023.0,Nithish Sahadev,Basil Joseph,Malayalam
1018513,Ghilli,2004.0,Dharani,Vijay,Tamil
1018555,Pachuvum Athbhuthavilakkum,2023.0,Akhil Sathyan,Fahadh Faasil,Malayalam
1018576,Vaathi,2023.0,Venky Atluri,Dhanush,Tamil
1018604,Luck by Chance,2009.0,Zoya Akhtar,Farhan Akhtar,Hindi
1018627,AK vs AK,2020.0,Vikramaditya Motwane,Anil Kapoor,Hindi
1018649,Ayalaan,2024.0,R. Ravi Kumar,Sivakarthikeyan,Tamil
